Comment,Designator,Footprint,LCSC,Quantity
100K,"R6,R7",CRCW0603100KFKEA,C844916,2
100nF,"C1,C2",CC0603KRX7R9BB104,C14663,2
150R,R3,RESC1607X60N,C114608,1
1K,R4,RCG06031K00FKEA,C4264491,1
1uF,"C3,C4",CC0603JRX7R7BB105-L,C519560,2
4.7K,"R1,R2",CR0603-FX-4701ELF,C840629,2
47K,"R5,R8",RC0603FR-0747KL,C105579,2
AS5045B,U2,SSOP-16_5.3x6.2mm_P0.65mm,C5375289,1
BAT54,"CR1,CR2",BAT54WS-7-F,C124205,2
LEDBLUE,D1,YLED0603B,C19171394,1
LEDRED,D2,YLED0603R,C19171390,1
SN74LVC2G17DBVR,U1,SN74LVC2G17DBVR,C10429,1
SS8050,"Q1,Q2",SOT-23,C81464,2
Conn_01x05,J1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,1
