Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,CC0603KRX7R9BB104,144.75,-80.45,180.0,top
C2,100nF,CC0603KRX7R9BB104,132.2,-82.15,0.0,top
C3,1uF,CC0603JRX7R7BB105-L,137.3031,-73.3,0.0,top
C4,1uF,CC0603JRX7R7BB105-L,140.6564,-73.3,0.0,top
CR1,BAT54,BAT54WS-7-F,133.6,-76.95,-90.0,top
CR2,BAT54,BAT54WS-7-F,144.35,-77.0492,-90.0,top
D1,LEDBLUE,150080BS75000_Modified,128.9,-82.181575,0.0,top
D2,LEDRED,NCD0603R1,148.35,-82.1802,0.0,top
Q1,SS8050,SOT-23,133.65,-71.4375,0.0,top
Q2,SS8050,SOT-23,144.25,-71.4375,0.0,top
R1,4.7K,CR0603-FX-4701ELF,144.8,-84.2,0.0,top
R2,4.7K,CR0603-FX-4701ELF,144.8,-82.2,180.0,top
R3,150R,RESC1607X60N,129.05,-83.9938,0.0,top
R4,1K,RCG06031K00FKEA,148.35,-84.2,0.0,top
R5,47K,RC0603FR-0747KL,130.9269,-75.25,0.0,top
R6,100K,CRCW0603100KFKEA,137.285,-70.5,0.0,top
R7,100K,CRCW0603100KFKEA,140.585,-70.5,0.0,top
R8,47K,RC0603FR-0747KL,146.7769,-75.25,0.0,top
U1,SN74LVC2G17DBVR,SN74LVC2G17DBVR,138.8864,-76.35,0.0,top
U2,AS5045B,SSOP-16_5.3x6.2mm_P0.65mm,138.725,-82.05,270.0,top
