Comment,Designator,Footprint,LCSC,Quantity
0.01uF,C2,C0402C103J4RACTU,C2167451,1
100K,R14,CRCW0603100KFKEA,C844916,1
10K,"R15,R8",CRCW060310K0FKEA,C844918,2
150R,"R1,R11,R2,R3,R4,R6,R7",RCG06031K00FKEA,C114608,7
1K,R9,RCG06031K00FKEA,C4264491,1
1uF,C1,CC0603JRX7R7BB105,C519560,1
360K,R16,RC0603FR-07360KL,C137740,1
470R,"R10,R12,R13,R5",RC0603FR-07470RL,C114669,4
BLUE LED,"D1,D2,D3,D4,D6,D7,D9",150080BS75000_Modified,C6067133,7
PINK LED,"D10,D11,D5,D8",LED_XL-2012SURC_XLG,C965812,4
SMMBT3904LT1G,Q1,SMMBT3904LT1G,C84555,1
SN74HC08DR,"U3,U4",SN74HC08DR,C337768,2
TLC555CDR,U2,TLC555CDR,C6986,1
