Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CC0603JRX7R7BB105,CC0603JRX7R7BB105,165.8523,-112.0,0.0,top
C2,C0402C103J4RACTU,C0402C103J4RACTU,178.5,-114.5,0.0,top
D1,150080BS75000,150080BS75000,111.0602,-91.5,0.0,top
D10,XL-2012SURC,LED_XL-2012SURC_XLG,166.1491,-117.0,0.0,top
D11,XL-2012SURC,LED_XL-2012SURC_XLG,157.0,-117.0,0.0,top
D2,150080BS75000,150080BS75000,181.1491,-117.0,0.0,top
D3,150080BS75000,150080BS75000,133.5602,-117.0,0.0,top
D4,150080BS75000,150080BS75000,138.1491,-117.0,0.0,top
D5,XL-2012SURC,LED_XL-2012SURC_XLG,129.1491,-117.0,0.0,top
D6,150080BS75000,150080BS75000,147.5,-117.0,0.0,top
D7,150080BS75000,150080BS75000,152.1491,-117.0,0.0,top
D8,XL-2012SURC,LED_XL-2012SURC_XLG,143.1491,-117.0,0.0,top
D9,150080BS75000,150080BS75000,161.5602,-117.0,0.0,top
Q1,SMMBT3904LT1G,SMMBT3904LT1G,113.9525,-114.984,0.0,top
R1,RCG06031K00FKEA,RCG06031K00FKEA,114.765,-91.5,0.0,top
R10,RCG06031K00FKEA,RCG06031K00FKEA,166.0,-114.5,0.0,top
R11,RCG06031K00FKEA,RCG06031K00FKEA,157.0,-114.5,0.0,top
R12,RCG06031K00FKEA,RCG06031K00FKEA,104.5,-114.5,180.0,top
R13,RCG06031K00FKEA,RCG06031K00FKEA,109.0,-114.5,0.0,top
R14,CRCW0603100KFKEA,CRCW0603100KFKEA,119.235,-114.5,0.0,top
R15,CRCW060310K0FKEA,CRCW060310K0FKEA,184.5,-114.5,0.0,top
R16,RC0603FR-07360KL,RC0603FR-07360KL,184.5,-111.5,0.0,top
R2,RCG06031K00FKEA,RCG06031K00FKEA,184.5,-117.0,0.0,top
R3,RCG06031K00FKEA,RCG06031K00FKEA,133.4369,-114.5,0.0,top
R4,RCG06031K00FKEA,RCG06031K00FKEA,138.235,-114.5,0.0,top
R5,RCG06031K00FKEA,RCG06031K00FKEA,129.235,-114.5,0.0,top
R6,RCG06031K00FKEA,RCG06031K00FKEA,147.5,-114.5,0.0,top
R7,RCG06031K00FKEA,RCG06031K00FKEA,152.0,-114.5,0.0,top
R8,CRCW060310K0FKEA,CRCW060310K0FKEA,143.134,-114.4849,0.0,top
R9,RCG06031K00FKEA,RCG06031K00FKEA,161.5,-114.5,0.0,top
U2,TLC555CDR,TLC555CDR,173.0362,-114.095,0.0,top
U3,SN74HC08DR,SN74HC08DR,144.69,-95.5362,90.0,top
U4,SN74HC08DR,SN74HC08DR,144.69,-105.5362,90.0,top
