Comment,Designator,Footprint,LCSC,Quantity
100K,"R1,R10,R5",CRCW0603100KFKEA,C844916,3
100nF,"C1,C4",CC0603KRX7R9BB104,C14663,2
10nF,C2,GRM1885C1H103JA01D,C85973,1
150R,"R6,R9",RESC1607X60N,C114608,2
1K,R4,RCG06031K00FKEA,C4264491,1
1uF,"C3,C5,C6,C7",CC0603JRX7R7BB105,C519560,4
22R,"R13,R14,R15",RC0603FR-0722RL,C107701,3
470K,"R12,R3,R8",RC0603FR-07470KL,C114622,3
47K,"R11,R2,R7",RC0603FR-0747KL,C105579,3
AS5047P-ATST,U1,AS5047P-ASST,C962063,1
BAT54,"CR1,CR2,CR3",BAT54WS-7-F,C124205,3
BLUELED,"D2,D3",YLED0603B,C6067133,2
MMBT3904,"Q1,Q2,Q3",MMBT3904LT1G,C81464,3
REDLED,D1,YLED0603R,C19171390,1
SN74LVC3G17DCUR,U2,SN74LVC3G17DCUR,C68245,1
