Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,CC0603KRX7R9BB104,154.0,-103.55,0.0,top
C2,10nF,GRM1885C1H103JA01D,152.45,-106.4,-90.0,top
C3,1uF,CC0603JRX7R7BB105,154.25,-106.35,90.0,top
C4,100nF,CC0603KRX7R9BB104,133.85,-105.7105,0.0,top
C5,1uF,CC0603JRX7R7BB105,129.0605,-111.1,90.0,top
C6,1uF,CC0603JRX7R7BB105,155.8105,-111.1,90.0,top
C7,1uF,CC0603JRX7R7BB105,142.3605,-111.1,90.0,top
CR1,BAT54,BAT54WS-7-F,129.3613,-114.2141,180.0,top
CR2,BAT54,BAT54WS-7-F,156.1105,-114.3313,180.0,top
CR3,BAT54,BAT54WS-7-F,142.6605,-114.1931,180.0,top
D1,REDLED,NCD0603R1,147.075,-89.5302,180.0,top
D2,BLUELED,150080BS75000_Modified,137.95,-89.55,0.0,top
D3,BLUELED,150080BS75000_Modified,156.2,-89.55,0.0,top
Q1,MMBT3904,MMBT3904LT1G,137.5605,-111.1,0.0,top
Q2,MMBT3904,MMBT3904LT1G,164.2605,-111.1,0.0,top
Q3,MMBT3904,MMBT3904LT1G,151.0105,-111.1,0.0,top
R1,100K,CRCW0603100KFKEA,131.0381,-111.1,-90.0,top
R10,100K,CRCW0603100KFKEA,144.3756,-111.1,-90.0,top
R11,47K,RC0603FR-0747KL,146.1749,-111.1,-90.0,top
R12,470K,RC0603FR-07470KL,147.7679,-111.1,-90.0,top
R13,22R,RC0603FR-0722RL,133.7992,-104.121,0.0,top
R14,22R,RC0603FR-0722RL,133.7992,-102.5823,0.0,top
R15,22R,RC0603FR-0722RL,140.05,-106.75,0.0,top
R2,47K,RC0603FR-0747KL,132.7999,-111.1,-90.0,top
R3,470K,RC0603FR-07470KL,134.3554,-111.1,-90.0,top
R4,1K,RCG06031K00FKEA,146.7955,-114.1931,0.0,top
R5,100K,CRCW0603100KFKEA,157.7756,-111.1,-90.0,top
R6,150R,RESC1607X60N,133.5613,-114.2141,0.0,top
R7,47K,RC0603FR-0747KL,159.5249,-111.1,-90.0,top
R8,470K,RC0603FR-07470KL,161.0679,-111.1,-90.0,top
R9,150R,RESC1607X60N,160.1605,-114.3313,180.0,top
U1,AS5047P-ATST,AS5047P-ASST,146.9942,-104.8582,0.0,top
U2,SN74LVC3G17DCTR,SN74LVC3G17DCTR,138.45,-103.7735,180.0,top
