Comment,Designator,Footprint,LCSC,Quantity
0.01uF,C2,C0402C103J4RACTU,C2167451,1
10K,"R2,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55",CRCW060310K0FKEA,C844918,19
150R,"R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22",RESC1607X60N,C114608,12
1K,"R10,R3,R4,R5,R6,R7,R8,R9",RCG06031K00FKEA,C4264491,8
1uF,C1,CC0603JRX7R7BB105,C519560,1
2.2K,"R34,R35,R36,R37",RC0603FR-072K2L,C114662,4
360K,R1,RC0603FR-07360KL,C137740,1
47R,"R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R56,R57",RESC1608X55,C114623,13
47nF,"C3,C4,C5,C6",CAPC1608X90N,C1622,4
BLUELED,"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D9",150080BS75000_Modified,C6067133,12
MMBT3904LT1G,"Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q3,Q4,Q5,Q6,Q7,Q8,Q9",MMBT3904LT1G,C81464,20
REDLED,"D1,D2,D3,D4,D5,D6,D7,D8",NCD0603R1,C84263,8
SN74HC08DR,"U3,U4,U6",SN74HC08DR,C337768,3
TLC555CDR,U2,TLC555CDR,C6986,1
