Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,CC0603JRX7R7BB105,127.9061,-125.4574,0.0,top
C2,0.01uF,C0402C103J4RACTU,138.6916,-125.7285,0.0,top
C3,47nF,CAPC1608X90N,149.3294,-125.546,180.0,top
C4,47nF,CAPC1608X90N,149.3294,-128.196,180.0,top
C5,47nF,CAPC1608X90N,149.3294,-130.846,0.0,top
C6,47nF,CAPC1608X90N,149.3294,-133.546,0.0,top
C7,100nF,CC0603KRX7R9BB104,113.0177,-135.975,0.0,top
C8,100nF,CC0603KRX7R9BB104,113.04,-133.375,0.0,top
D1,REDLED,NCD0603R1,76.025,-100.95,180.0,top
D10,BLUELED,150080BS75000_Modified,72.6262,-100.95,0.0,top
D11,BLUELED,150080BS75000_Modified,101.4019,-100.95,0.0,top
D12,BLUELED,150080BS75000_Modified,94.6043,-100.95,0.0,top
D13,BLUELED,150080BS75000_Modified,123.1261,-100.95,0.0,top
D14,BLUELED,150080BS75000_Modified,116.3285,-100.95,0.0,top
D15,BLUELED,150080BS75000_Modified,145.1261,-100.95,0.0,top
D16,BLUELED,150080BS75000_Modified,138.3285,-100.95,0.0,top
D17,BLUELED,150080BS75000_Modified,213.1285,-104.35,0.0,top
D18,BLUELED,150080BS75000_Modified,219.9261,-104.35,0.0,top
D19,BLUELED,150080BS75000_Modified,183.9285,-100.95,0.0,top
D2,REDLED,NCD0603R1,98.0031,-100.95,180.0,top
D20,BLUELED,150080BS75000_Modified,190.7261,-100.95,0.0,top
D3,REDLED,NCD0603R1,119.7273,-100.95,180.0,top
D4,REDLED,NCD0603R1,141.7273,-100.95,180.0,top
D5,REDLED,NCD0603R1,216.5273,-104.37,180.0,top
D6,REDLED,NCD0603R1,187.3273,-100.95,180.0,top
D7,REDLED,NCD0603R1,193.375,-80.0777,180.0,top
D8,REDLED,NCD0603R1,166.4,-80.0777,180.0,top
D9,BLUELED,150080BS75000_Modified,79.4238,-100.95,0.0,top
Q1,AO3400A,AO3400A,78.5838,-109.329,0.0,top
Q10,AO3400A,AO3400A,72.6875,-109.329,0.0,top
Q11,AO3400A,AO3400A,106.5996,-109.35,0.0,top
Q12,AO3400A,AO3400A,94.6656,-109.35,0.0,top
Q13,AO3400A,AO3400A,128.9736,-109.35,0.0,top
Q14,AO3400A,AO3400A,116.6636,-109.35,0.0,top
Q15,AO3400A,AO3400A,150.9036,-109.35,0.0,top
Q16,AO3400A,AO3400A,138.6136,-109.35,0.0,top
Q17,AO3400A,AO3400A,182.5356,-109.77,0.0,top
Q18,AO3400A,AO3400A,194.8256,-109.77,0.0,top
Q19,AO3400A,AO3400A,160.5636,-109.35,0.0,top
Q2,AO3400A,AO3400A,100.6095,-109.35,0.0,top
Q20,AO3400A,AO3400A,172.8536,-109.35,0.0,top
Q3,AO3400A,AO3400A,122.8186,-109.35,0.0,top
Q4,AO3400A,AO3400A,144.5611,-109.35,0.0,top
Q5,AO3400A,AO3400A,188.6806,-109.77,0.0,top
Q6,AO3400A,AO3400A,166.7086,-109.35,0.0,top
Q7,AO3400A,AO3400A,214.9086,-76.4,0.0,top
Q8,AO3400A,AO3400A,214.6192,-70.7,0.0,top
Q9,AO3400A,AO3400A,84.61,-109.35,0.0,top
R1,360K,RC0603FR-07360KL,127.8004,-122.765,0.0,top
R10,1K,RCG06031K00FKEA,221.2271,-71.76,0.0,top
R100,150R,RESC1607X60N,108.85,-138.5,0.0,top
R101,150R,RESC1607X60N,108.85,-141.04,0.0,top
R102,150R,RESC1607X60N,108.85,-143.63,0.0,top
R103,150R,RESC1607X60N,108.85,-146.17,0.0,top
R104,150R,RESC1607X60N,108.85,-148.71,0.0,top
R105,150R,RESC1607X60N,108.85,-151.25,0.0,top
R106,150R,RESC1607X60N,108.85,-153.79,0.0,top
R107,150R,RESC1607X60N,108.85,-156.38,0.0,top
R11,150R,RESC1607X60N,72.5,-105.65,0.0,top
R12,150R,RESC1607X60N,84.4225,-105.65,0.0,top
R13,150R,RESC1607X60N,106.4121,-105.65,0.0,top
R14,150R,RESC1607X60N,94.4781,-105.65,0.0,top
R15,150R,RESC1607X60N,128.7861,-105.65,0.0,top
R16,150R,RESC1607X60N,116.4761,-105.65,0.0,top
R17,150R,RESC1607X60N,150.7161,-105.65,0.0,top
R18,150R,RESC1607X60N,138.4261,-105.65,0.0,top
R19,150R,RESC1607X60N,182.3481,-106.07,0.0,top
R2,10K,CRCW060310K0FKEA,139.2038,-122.765,180.0,top
R20,150R,RESC1607X60N,194.6381,-106.07,0.0,top
R21,150R,RESC1607X60N,160.3761,-105.65,0.0,top
R22,150R,RESC1607X60N,172.6661,-105.65,0.0,top
R23,47R,RESC1608X55,177.8,-146.15,180.0,top
R24,47R,RESC1608X55,177.8,-148.646,180.0,top
R25,47R,RESC1608X55,177.8,-141.1579,180.0,top
R26,47R,RESC1608X55,177.8,-143.654,180.0,top
R27,47R,RESC1608X55,177.8,-128.446,180.0,top
R28,47R,RESC1608X55,177.8,-130.996,180.0,top
R29,47R,RESC1608X55,153.7394,-149.896,0.0,top
R3,1K,RCG06031K00FKEA,78.3963,-105.6,180.0,top
R30,47R,RESC1608X55,153.7394,-147.646,0.0,top
R31,47R,RESC1608X55,162.0294,-119.846,0.0,top
R32,47R,RESC1608X55,153.779,-141.696,0.0,top
R33,47R,RESC1608X55,172.8294,-119.846,0.0,top
R34,2.2K,RC0603FR-072K2L,153.9084,-125.546,0.0,top
R35,2.2K,RC0603FR-072K2L,153.9084,-128.196,0.0,top
R36,2.2K,RC0603FR-072K2L,153.9084,-130.846,0.0,top
R37,2.2K,RC0603FR-072K2L,153.9084,-133.546,0.0,top
R38,10K,CRCW060310K0FKEA,182.2294,-146.15,0.0,top
R39,10K,CRCW060310K0FKEA,182.2294,-148.646,0.0,top
R4,1K,RCG06031K00FKEA,100.422,-105.629,0.0,top
R40,10K,CRCW060310K0FKEA,182.2294,-141.146,0.0,top
R41,10K,CRCW060310K0FKEA,182.2294,-143.654,0.0,top
R42,10K,CRCW060310K0FKEA,182.2294,-128.446,0.0,top
R43,10K,CRCW060310K0FKEA,182.2294,-130.996,0.0,top
R44,10K,CRCW060310K0FKEA,149.2688,-149.8394,0.0,top
R45,10K,CRCW060310K0FKEA,149.2688,-147.5894,0.0,top
R46,10K,CRCW060310K0FKEA,133.6061,-115.85,180.0,top
R47,10K,CRCW060310K0FKEA,153.779,-144.436,0.0,top
R48,10K,CRCW060310K0FKEA,177.8,-138.6053,0.0,top
R49,10K,CRCW060310K0FKEA,177.8,-135.996,0.0,top
R5,1K,RCG06031K00FKEA,122.6311,-105.671,0.0,top
